Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*
1/02/2023;VERDURAS Y HORTALIZAS;Ahuyama;San Gil (Santander);1.500
1/02/2023;VERDURAS Y HORTALIZAS;Ahuyama;Socorro (Santander);1.500
1/02/2023;VERDURAS Y HORTALIZAS;Rábano rojo;Medellín, Central Mayorista de Antioquia;1.500
1/02/2023;FRUTAS;Banano criollo;Manizales, Centro Galerías;1.500
1/03/2023;VERDURAS Y HORTALIZAS;Ahuyama;San Gil (Santander);1.500
1/03/2023;VERDURAS Y HORTALIZAS;Ahuyama;Socorro (Santander);1.500
1/03/2023;VERDURAS Y HORTALIZAS;Chócolo mazorca;San Vicente (Antioquia);1.500
1/04/2023;VERDURAS Y HORTALIZAS;Ahuyama;San Gil (Santander);1.500
1/04/2023;VERDURAS Y HORTALIZAS;Ahuyama;Socorro (Santander);1.500
1/04/2023;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Pamplona (Norte de Santander);1.500
1/04/2023;FRUTAS;Banano criollo;Manizales, Centro Galerías;1.500
1/05/2023;VERDURAS Y HORTALIZAS;Ahuyama;San Gil (Santander);1.500
1/05/2023;FRUTAS;Patilla;Sincelejo, Nuevo Mercado;1.500
1/05/2023;TUBERCULOS, RAICES Y PLATANOS;Plátano hartón verde;Socorro (Santander);1.500
1/06/2023;VERDURAS Y HORTALIZAS;Ahuyama;Pamplona (Norte de Santander);1.500
1/06/2023;VERDURAS Y HORTALIZAS;Ahuyama;San Gil (Santander);1.500
1/06/2023;VERDURAS Y HORTALIZAS;Ahuyama;Socorro (Santander);1.500
1/06/2023;TUBERCULOS, RAICES Y PLATANOS;Papa capira;El Santuario (Antioquia);1.500
